"Firstseen (UTC)";"Threat";"Malware";"Host";"URL";"Status";"Registrar";"IP address(es)";"ASN(s)";"Country"
"2017-05-05 10:56:38";"Distribution Site";"Cerber";"poimoiyreque5.pw";"http://poimoiyreque5.pw/search.php";"offline";"PDR Ltd. d/b/a PublicDomainRegistry.com";"";"";""
"2017-05-04 16:24:59";"Payment Site";"TorrentLocker";"2ymh2gnnbg6pgq2r.gremsot.pl";"http://2ymh2gnnbg6pgq2r.gremsot.pl/";"offline";"InternetX GmbH";"";"";""
"2017-05-04 12:29:03";"Distribution Site";"Cerber";"jhdgh.club";"http://jhdgh.club/search.php";"offline";"NameCheap; Inc.";"";"";""
"2017-05-04 10:37:06";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1khwro.top";"http://hjhqmbxyinislkkt.1khwro.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-04 09:53:15";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.17gvad.top";"http://p27dokhpz2n7nvgr.17gvad.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-04 09:06:54";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1mqvsc.top";"http://hjhqmbxyinislkkt.1mqvsc.top";"offline";"Eranet International Limited";"";"";""
"2017-05-04 01:14:38";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1gvyo8.top";"http://hjhqmbxyinislkkt.1gvyo8.top";"offline";"Eranet International Limited";"";"";""
"2017-05-02 10:26:46";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1jzmjr.top";"http://p27dokhpz2n7nvgr.1jzmjr.top";"offline";"Eranet International Limited";"";"";""
"2017-05-02 03:11:37";"Payment Site";"Cerber";"hjhqmbxyinislkkt.13bcem.top";"http://hjhqmbxyinislkkt.13bcem.top";"offline";"Eranet International Limited";"";"";""
"2017-05-01 17:14:13";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1fzjn3.top";"http://hjhqmbxyinislkkt.1fzjn3.top";"offline";"Eranet International Limited";"";"";""
"2017-05-01 14:36:36";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.12hxjv.top";"http://p27dokhpz2n7nvgr.12hxjv.top";"offline";"Eranet International Limited";"";"";""
"2017-05-01 12:33:06";"Payment Site";"TorrentLocker";"2ymh2gnnbg6pgq2r.winregion.tw";"http://2ymh2gnnbg6pgq2r.winregion.tw/";"offline";"PSI-USA; Inc.";"";"";""
"2017-04-30 17:11:22";"C2";"Locky";"91.201.202.232";"http://91.201.202.232/checkupdate";"offline";"";"91.201.202.232";"197684";"UA"
"2017-04-30 04:52:24";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1pbfky.top";"http://p27dokhpz2n7nvgr.1pbfky.top";"offline";"Eranet International Limited";"";"";""
"2017-04-29 23:44:04";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1wmvk2.top";"http://p27dokhpz2n7nvgr.1wmvk2.top";"offline";"Eranet International Limited";"";"";""
